feature,importance_mean,importance_std
num_customs_stops,0.043892778375114,0.00414076324575964
customs_complexity,0.03230186997974045,0.004335729118528755
origin_congestion_idx,0.02494623974015535,0.00490778838204785
weather_risk,0.01886767070157651,0.0031926025602227273
total_congestion,0.015195816900919937,0.0028599783705266332
is_hazmat,0.009307372500453923,0.0013147245085015577
mode,0.004469586688674004,0.0016566362624347885
distance_km,0.004069636368458765,0.0007677665387456278
carrier_reliability_score,0.0017022594610916209,0.0005066816197500048
origin_port,0.0010637926180124685,0.0008482899902152341
planned_transit_days,0.0005669310134471806,0.0003633426789054186
log_shipment_value,0.00013663215944861862,0.0002781011349675235
congestion_gap,8.843154696928923e-05,0.00028696336833432636
carrier,-6.318360709922644e-05,0.0008739047338574849
transit_per_1000km,-8.875033408893562e-05,7.717503676275527e-05
season,-0.00014702461954671509,0.0004318371041465216
route_experience,-0.00030884096144154216,0.00027152914805821825
dest_congestion_idx,-0.0008381550947792749,0.0011913236584449403
dest_port,-0.003565633932415116,0.0013241978265970966
